Run,bases,avgLength,size_MB,LibraryStrategy,Platform,Model
SRR13300647,1798175316,202,652,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300658,2039587738,202,710,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300687,1652791270,202,601,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300686,1698270560,202,615,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300685,1864219620,202,643,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300645,2050848430,202,728,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300689,2347624608,202,823,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300690,2749474520,202,966,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300646,1976431630,202,1022,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300688,1500353990,202,769,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300661,2656190112,202,1366,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300691,2534029198,202,1264,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300668,1709692246,202,629,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300657,1587532342,202,575,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300670,4079521906,202,1489,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300674,2872218002,202,1050,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300649,3202367812,202,1242,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300659,4957715290,202,1791,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300667,3013039878,202,1109,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300632,3364914990,202,1295,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300684,4742579230,202,1726,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300652,5572716612,202,2126,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300673,1449870554,202,539,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300672,1464877942,202,535,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300665,1477159744,202,546,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300654,4437228758,202,1603,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300663,1803456808,202,664,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300633,4175908024,202,1597,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300651,2833998996,202,1040,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300648,576193284,202,214,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300655,5382421704,202,2037,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300656,5738541846,202,2064,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300660,4238316530,202,1619,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300662,3444891234,202,1401,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300669,3859659046,202,1514,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300664,2707502556,202,1075,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300666,4678141230,202,1476,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300675,2010778094,202,639,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300676,2894562232,202,918,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300636,2239278272,202,745,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300634,3376631798,202,1090,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300677,1071548592,202,358,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300638,3254988206,202,1085,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300637,1602977464,202,526,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300640,1529327860,202,499,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300678,3557788226,202,1171,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300679,3340807300,202,1086,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300639,1395180266,202,463,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300641,2690916134,202,894,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300680,1698223696,202,549,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300642,3947995868,202,1338,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300650,1936399068,202,635,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300681,4627963622,202,1499,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300653,2828865166,202,943,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300682,2324516616,202,772,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300635,3142719636,202,1065,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300683,794925550,202,262,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300643,3401348114,202,1125,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300644,3330557214,202,1082,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300671,3310166122,202,1097,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300711,2119038378,202,787,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300721,1271706958,202,477,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300723,1189240660,202,439,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300729,3761562392,202,1361,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300699,2546065570,202,883,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300708,2733153728,202,967,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300744,3205215406,202,1646,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300692,1857869952,202,952,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300695,3289656254,202,1657,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300693,3229539034,202,1644,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300701,1239492200,202,476,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300706,4495443340,202,1633,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300713,1065033890,202,412,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300735,4142027978,202,1573,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300732,3124108164,202,1217,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300719,2913220568,202,1065,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300694,4202056318,202,1517,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300722,4854292300,202,1870,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300742,4848704374,202,1852,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300725,887117744,202,339,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300738,7700624810,202,2921,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300740,3495805132,202,1258,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300741,5198685332,202,1888,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300728,4927130268,202,1868,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300739,4490952476,202,1616,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300734,1552924086,202,576,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300718,2719003022,202,1100,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300720,3651231810,202,1436,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300696,2319030296,202,921,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300733,3373905000,202,1331,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300745,2483616462,202,993,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300702,3249047184,202,1284,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300710,9068973618,202,2934,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300698,3829740826,202,1215,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300703,2046966192,202,654,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300737,2454042450,202,777,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300726,2358233648,202,758,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300743,1049353438,202,341,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300709,1678908052,202,531,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300724,3944463696,202,1322,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300715,5163320384,202,1696,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300727,3582503936,202,1191,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300730,1556848946,202,513,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300736,3658717728,202,1216,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300705,3468689258,202,1148,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300712,2525394102,202,844,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300717,4229868486,202,1428,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300716,4923622336,202,1601,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300731,1354220726,202,460,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300697,3355922758,202,1130,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300704,4460917904,202,1467,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300707,3698527686,202,1211,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300700,2999028754,202,999,WGS,ILLUMINA,Illumina HiSeq 2500
SRR13300714,1806384394,202,600,WGS,ILLUMINA,Illumina HiSeq 2500
ERR9607749,4499947500,300,1648,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609794,5819998800,300,2208,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607193,4871737800,300,1807,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610759,5436452700,300,2131,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610761,5288605500,300,1978,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610768,6545173500,300,2477,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610823,3608976600,300,1353,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607856,6024320400,300,2194,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607115,3791273400,300,1422,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607191,5276397900,300,1990,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609786,6298731000,300,2470,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609115,8182958700,300,3083,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607752,5845069800,300,2037,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609789,5171891700,300,1958,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609791,5748717900,300,2161,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609125,5232904800,300,1906,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609796,5796219300,300,2072,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609899,5829794700,300,2133,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610024,5657569800,300,2064,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610044,5346291600,300,1893,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610947,5104169400,300,1906,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610638,3964122000,300,1508,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607188,5886631200,300,2062,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607197,5741262600,300,2152,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610724,5488899000,300,2061,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610756,5444161200,300,2097,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610757,5667468600,300,2216,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607658,6281049900,300,2295,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610957,5406825600,300,2053,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609112,7209143700,300,2596,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9616668,3568061100,300,1254,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610886,5371341600,300,1967,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610888,4841540400,300,1761,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610890,4603400100,300,1817,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610892,4540987200,300,1753,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610894,5589879300,300,2148,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610949,4955482200,300,1794,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610937,5908535700,300,2211,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609339,5873939400,300,2175,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609748,4524506400,300,1688,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609787,4598688000,300,1762,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609790,4545429900,300,1672,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609793,5312928300,300,1955,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610952,4676030700,300,1645,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610953,5655153000,300,2021,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609983,8067390300,300,3011,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607192,6220471500,300,2342,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607198,4585496100,300,1715,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610025,4820915100,300,1798,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610043,3799260600,300,1415,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610045,3822627000,300,1387,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610956,6438745500,300,2424,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610959,5943325800,300,2122,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609127,6583528500,300,2542,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610961,3576815700,300,1351,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9613377,7438453500,300,2739,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9614999,6981959400,300,2655,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9616670,5164205700,300,1936,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9610944,3549454800,300,1375,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609026,3917522700,300,1379,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607183,4996684800,300,1923,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607137,4836472800,300,1814,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9606990,6842090700,300,2490,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607033,6366340800,300,2387,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607754,3174698400,300,1200,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607065,3384826800,300,1296,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607096,6025956300,300,2225,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609340,7563524400,300,2667,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607165,6206455200,300,2309,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609747,5798083200,300,2133,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607186,4396795500,300,1729,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609749,5872083600,300,2223,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609752,5110639200,300,2003,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607199,6138138000,300,2372,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607660,5776239900,300,2224,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607745,5774824500,300,2048,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607747,3031887900,300,1207,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607750,5292783600,300,2041,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609119,4197432900,300,1607,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607005,5553290100,300,2013,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607050,6348797400,300,2319,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607082,6288267000,300,2405,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609124,5814175800,300,2206,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607168,6948654600,300,2626,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607855,5328471600,300,1993,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607189,5815212000,300,2168,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607201,5833466100,300,2170,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607204,6011471100,300,2347,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607207,5641864800,300,2087,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607013,6129435300,300,2235,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607054,5969976300,300,2272,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607076,4445192400,300,1732,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607109,6249619500,300,2390,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609746,5762848800,300,2094,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607167,5701573800,300,2174,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607854,4620989100,300,1627,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607858,7648709400,300,2917,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9606994,8358277500,300,3041,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609750,5834620500,300,2209,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607058,5060283600,300,1932,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609785,6998007300,300,2666,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607122,5228773800,300,1846,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607144,4513004100,300,1731,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607163,3809617500,300,1347,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607185,5694153600,300,2032,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607195,3254399100,300,1271,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607202,6393410700,300,2330,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607205,5292959100,300,2090,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609027,5721688800,300,2086,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9606980,5005287300,300,1945,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609116,3596150700,300,1402,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609118,4862645400,300,1841,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609121,4468767000,300,1748,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609122,4371887100,300,1654,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9607859,5380631700,300,1931,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9609113,4912910100,300,1801,WGS,ILLUMINA,Illumina HiSeq 2000
ERR9606956,7500000,300,3,WGS,ILLUMINA,Illumina HiSeq 2000
